SampleNo,CrackLocation,CrackType,Freq1,Freq2,Freq3,CrackReason,CrackPresent,NumberOfCracks,ReferencePoint,Crack1Distance(mm),Crack2Distance(mm),Crack3Distance(mm),Mode1Shape(mm),Mode2Shape(mm),Mode3Shape(mm)
1,Rib 1,Transverse,63.29,281.56,419.9,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,1,Trailing Edge,23.6,,,95.76,277.8,442.74
2,Rib 1,Through Thickness,61.44,271.65,379.3,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Trailing Edge,66.8,,,100.39,303.29,435.41
3,Rib 1,Multiple Cracks,60.81,289.95,390.85,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,3,Trailing Edge,31.4,49.8,19.4,108.68,335.85,512.1
4,Lower Skin,Edge Crack,69.6,337.26,494.91,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,201.3,,,137.6,417.52,604.47
5,Trailing Edge,Multiple Cracks,40.22,315.26,415.48,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,2,Wing Root,294.5,23.6,,198.15,603.39,935.35
6,Rib 1,Edge Crack,50.6,280.48,471.71,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Trailing Edge,14.6,,,93.167,41.79,82.753
7,Lower Skin,Multiple Cracks,57.17,322.35,404.56,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,2,Wing Root,242.2,198.3,,68.726,53.827,118.38
8,Trailing Edge,Transverse,46.88,319.56,444.63,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Wing Root,95,,,150.67,444.72,660.32
9,Trailing Edge,Multiple Cracks,42.53,300.7,405.47,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,3,Wing Root,0,40.6,255.8,158.84,497.02,749.4
10,Rib 1,Inclined,57.42,318.11,504.36,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Trailing Edge,84.8,,,78.44,245.11,363.8
11,Trailing Edge,Edge Crack,61.65,285.15,405.3,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,140.7,,,190.73,545.67,833.38
12,Trailing Edge,Multiple Cracks,58.64,261.79,506.43,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,3,Wing Root,140.3,162.1,23.22,169.13,533.05,842.12
13,Trailing Edge,Inclined,43.08,321,390.72,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,194.5,,,131.99,385.78,575.38
14,Spar 2,Inclined,40.21,289.5,410.18,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,77.7,,,98.32,311.05,492.74
15,Trailing Edge,Inclined,48.79,305.82,435.79,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,101.4,,,131.8,385.58,574.62
16,Trailing Edge,Through Thickness,52.28,319.05,374.62,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Wing Root,259.7,,,180.64,575.42,893.11
17,Rib 2 and Rib 3,Multiple Cracks,65.06,335.98,460.6,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,2,Trailing Edge,62.4,40.9,,91.4,291.98,417.76
18,Rib 2,Transverse,60.53,326.49,371.17,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Trailing Edge,97.5,,,81.2,241.64,363.1
19,Trailing Edge,Transverse,55.47,262.97,502.13,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Wing Root,267.1,,,161.87,508,759.29
20,Rib 6,Inclined,54.8,294.65,447.25,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Trailing Edge,95.6,,,83.61,239.97,349.09
21,Trailing Edge,Edge Crack,63.41,268.97,477.65,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,246.1,,,193.06,600.55,861.63
22,Spar 1,Multiple Cracks,45.71,284.32,435.52,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,3,Wing Root,62.6,0,222.4,131.39,417.5,641.79
23,Spar 2,Inclined,68.66,334.15,477.06,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,127.8,,,80.57,257.28,393.65
24,Spar 2,Edge Crack,44.78,294.13,503.96,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,120.9,,,128.19,362.53,565.04
25,Spar 1,Multiple Cracks,50.68,301.85,459.2,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,3,Wing Root,127.7,223,273.2,134.7,385.03,574.21
26,Leading Edge,V-Notch,50.61,268.70,426.43,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,46.7,,,164.6,482.07,689.88
27,Leading Edge,V-Notch,49.41,351.77,355.77,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,53.7,,,131.6,383.49,593.91
28,Rib 7,Inclined,47.68,318.61,447.96,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Trailing Edge,57.7,,,80.42,227.21,346.53
29,Upper Skin,Transverse,56.13,279.73,410.79,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Wing Root,250.6,,,110.55,315.73,479.89
30,Trailing Edge,Inclined,40.13,320.48,426.98,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,50.7,,,149.85,461.87,714.19
31,Lower Skin,Transverse,49.54,280.61,382.87,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Wing Root,295.1,,,140.58,398.67,624.26
32,Lower Skin,Through Thickness,69.04,296.79,462.69,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Wing Root,247.5,,,132.49,395.3,606.5
33,Upper Skin,Edge Crack,43.84,298.79,405.71,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,151.4,,,121.67,349.02,513.09
34,Trailing Edge,Transverse,61.27,291.8,370.03,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Wing Root,151.6,,,163.07,498.6,703.64
35,Lower Skin,Edge Crack,58.96,331.95,486.46,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,208.3,,,131.95,403.97,613.35
36,Rib 2,Through Thickness,50.96,304.7,428.41,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Trailing Edge,76.1,,,88.61,255.78,363.84
37,Spar 2,Multiple Cracks,62.66,286.96,434.67,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,3,Wing Root,166.3,253.1,30.2,137.49,387.49,561.06
38,Trailing Edge,Edge Crack,40.33,302.04,360.06,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,102.1,,,194.6,616.83,908.52
39,Trailing Edge,Through Thickness,49.45,297.62,461.77,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Wing Root,56.3,,,184.73,534.87,837.05
40,Rib 3 and Rib 4,Multiple Cracks,62.25,267.31,417.12,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,2,Trailing Edge,13.1,59.6,,96.89,304.13,425.83
41,Upper Skin,Transverse,68.02,292.12,495.72,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Wing Root,249.4,,,143.09,414.62,581.42
42,Rib 2,Edge Crack,61.02,320.59,458.3,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Trailing Edge,44.2,,,95.76,302.36,439.92
43,Rib 2,Multiple Cracks,58.21,281.68,486.78,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,2,Trailing Edge,32.6,59,,83.63,247.84,351.18
44,Leading Edge,V-Notch,52.93,321.09,427.32,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,56.1,,,143.71,428.94,662.06
45,Leading Edge,V-Notch,67.64,302.54,436.73,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,106.3,,,144.96,422.54,661.65
46,Upper Skin,Through Thickness,64.58,314.92,420.78,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Wing Root,192.3,,,132.48,405.45,640.51
47,Upper Skin,Through Thickness,40.15,290.74,369.14,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Wing Root,106.7,,,124.71,357.82,538.02
48,Rib 2,Through Thickness,65.06,330.45,470.12,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Trailing Edge,91.2,,,97.73,288.01,421.63
49,Spar 2,Through Thickness,64.32,309.71,428.6,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Wing Root,29.1,,,99.47,287.74,407.96
50,Rib 2,Inclined,63.56,332.66,419.86,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Trailing Edge,66.9,,,65.63,194.25,282.82
51,Lower Skin,Edge Crack,40.29,288.07,388.21,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,43.6,,,125.49,386.47,578.12
52,Spar 1,Inclined,58.19,274.81,434.92,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,122.4,,,91.12,263.81,386.02
53,Rib 5,Through Thickness,52.59,284.93,463.43,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Trailing Edge,20.1,,,86.44,248.32,385.19
54,Spar 2,Transverse,65.58,272.13,485.63,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Wing Root,277.9,,,93,273.92,398.7
55,Lower Skin,Inclined,69.89,273.71,363.44,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,53.2,,,118.04,348.48,505.38
56,Upper Skin,Transverse,55.03,327.03,400.68,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Wing Root,108.1,,,139.68,416.63,640.61
57,Leading Edge,V-Notch,54.63,242.98,401.55,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,93.1,,,128.64,361.06,576.33
58,Upper Skin,Inclined,67.21,318.36,448.59,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,358.1,,,103.1,312.61,449.33
59,Spar 1,Through Thickness,62.7,288.45,434.98,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Wing Root,219.3,,,93.63,280.37,429.61
60,Spar 2,Through Thickness,62.68,304.88,482.13,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Wing Root,170.8,,,102.88,316.23,504.83
61,Rib 6,Transverse,56.14,329.9,398.17,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Trailing Edge,64.1,,,73.92,215.6,326.62
62,Spar 1,Transverse,61.62,331.48,431.6,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,2,Wing Root,302.6,,,90.9,267.82,427.29
63,Trailing Edge,Multiple Cracks,56.98,316.44,381.84,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,1,Wing Root,203.7,45.4,,186.14,527.88,833.54
64,Spar 2,Transverse,49.45,336.17,412.29,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Wing Root,263.1,,,115.42,367.39,536.41
65,Trailing Edge,Inclined,49.89,289.36,377.4,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,98.9,,,123.32,380.67,595.68
66,Rib 2,Through Thickness,47.82,306.89,432.65,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,3,Trailing Edge,22.2,,,81.07,247.24,379.41
67,Upper Skin,Multiple Cracks,64.8,263.23,391.1,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,1,Wing Root,40.5,100.2,106.3,131.27,372.35,560.52
68,Lower Skin,Inclined,65.46,284.68,462.87,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,2,Wing Root,292.8,,,128.7,367.26,585.52
69,Lower Skin,Multiple Cracks,46.95,332.17,437.1,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,1,Wing Root,199.3,208.6,,153.92,462.72,689.24
70,Rib 2,Transverse,40.88,328.63,478.06,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Trailing Edge,88.9,,,77.76,224.12,355.84
71,Leading Edge,V-Notch,65.32,335.68,361.62,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,77.0,,,150.81,455.3,639.64
72,Spar 2,Through Thickness,46.58,272.46,415.88,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Wing Root,224.5,,,105.94,300.28,447.34
73,Lower Skin,Inclined,64.29,273.25,421.96,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,5.9,,,130.69,381.87,537.27
74,Leading Edge,V-Notch,57.93,310.26,390.03,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,66.0,,,124.1,348.6,522.51
75,Lower Skin,Edge Crack,58.39,263.38,440.13,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,245.2,,,124.04,362.34,551.45
76,Upper Skin,Edge Crack,59.66,315.23,365.74,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,301.8,,,143.14,422.83,630.76
77,Spar 1,Through Thickness,67.54,293.57,466.39,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Wing Root,261.4,,,112.54,348.7,505.79
78,Leading Edge,V-Notch,40.92,280.70,329.78,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,27.6,,,159.35,457.57,660.87
79,Rib 2,Transverse,54.52,287.8,361.67,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Trailing Edge,62.2,,,80.26,238.28,375.87
80,Trailing Edge,Inclined,65.13,261.82,499.43,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,54.3,,,138.94,389.43,603.36
81,Lower Skin,Inclined,60.73,331.38,494.87,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,295.6,,,110.48,317.45,454.07
82,Rib 3,Through Thickness,40.25,328.64,457.41,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Trailing Edge,44.6,,,77.96,219.51,330.74
83,Leading Edge,V-Notch,46.40,294.87,365.68,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,53.4,,,150.7,447.36,713.42
84,Lower Skin,Edge Crack,46.7,315.46,382.63,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,157.6,,,141.07,397.02,616.93
85,Rib 2,Transverse,59.26,268.33,391.77,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Trailing Edge,13.2,,,84.69,252.64,374.23
86,Spar 3,Transverse,46.74,334.78,388.2,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Wing Root,174.9,,,117.91,362.13,521.19
87,Spar 2,Multiple Cracks,41.02,314.61,418.81,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,2,Wing Root,176.9,59.2,,129.98,389.58,609.4
88,Spar 3,Inclined,46.49,303.6,467.13,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,161.2,,,104.72,304.27,463.45
89,Leading Edge,V-Notch,58.37,348.73,396.28,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,50.0,,,131.2,397.3,582.67
90,Rib 1,Inclined,46.65,285.61,472.49,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Trailing Edge,75.6,,,77.29,246.64,353.61
91,Upper Skin,Inclined,68.53,328.83,444.06,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,3.3,,,110.95,344.55,489.08
92,Spar 1,Inclined,43.73,335.56,397.58,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,164.5,,,81.88,234.29,343.61
93,Spar 1,Through Thickness,68.84,270.59,373.74,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Wing Root,40,,,94.93,277.89,390.02
94,Trailing Edge,Multiple Cracks,53.66,310.67,483.68,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,2,Wing Root,257,58.2,,193.17,573.7,887.47
95,Spar 2,Inclined,40.63,309.11,467.16,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,71.9,,,82.17,252.43,367.62
96,Spar 1,Inclined,41.14,278.13,394.15,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,114.1,,,85.2,245.05,356.91
97,Spar 1,Through Thickness,44.48,271.09,500.17,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Wing Root,227.7,,,101.63,292.56,450.46
98,Spar 2,Transverse,55.15,321.59,483.84,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Wing Root,127.9,,,111.53,325.85,480.62
99,Spar 3,Inclined,51.96,318,423.62,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,224.7,,,95.91,294.87,423.39
100,Upper Skin,Inclined,50.92,273,445.33,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,45.4,,,106.82,302.18,436.2
101,No Crack,Base Model,75.45,286.11,553.70,NaN,No,0,-,-,-,-,25.6,25,25.08
102,Rib 1,Transverse,54.96,313.67,385.88,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Trailing Edge,51.2,,,76.66,227.35,321.65
103,Trailing edge,Transverse,54.96,313.65,386.24,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Wing Root,202.9,,,174.87,509.38,772.72
104,Rib 1,Multiple Cracks,54.91,312.35,366.95,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,2,Trailing Edge,2.1,44.2,,88.78,272.64,423.16
105,Leading Edge,V-Notch,55.44,335.45,443.89,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,23.0,,,136.1,387.35,606.41
106,Leading Edge,V-Notch,55.42,296.15,349.14,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,89.0,,,138.36,411.25,619.13
107,Leading Edge,V-Notch,51.32,316.34,394.59,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,18.6,,,140.31,406.05,605.75
108,Rib 1,X-Crack,54.96,312.59,369.72,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,60.5,,,71.37,206.85,300.45
109,Rib 1,Irregular,55.96,312.19,385.27,Likely from stress concentration and fatigue around a fastener or service hole.,Yes,1,Trailing Edge,92.7,,,76.39,224.81,329.04
110,Upper Skin,Surface Crack,74.82,285.67,552.9,Stress Concentration at the Rib Junction,Yes,2,Wing Root,120.4,240.8,,107.38,320.32,468.58
111,Rib 2,Transverse,68.98,371.40,366.72,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Trailing Edge,94.9,,,84.74,253.78,391.09
112,Leading Edge,V-Notch,53.74,281.52,399.47,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,69.4,,,147.32,443.75,706.05
113,Leading Edge,V-Notch,61.67,337.28,394.78,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,44.8,,,151.35,472.55,698.83
